,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH ),Week_label,Power_round,Voltage_round,Curve_Iteration
11/23/2021 7:00,11/23/2021 6:59,11/23/2021 7:00,6,0,0,17,16,6,0,10,2
11/23/2021 7:05,11/23/2021 7:04,11/23/2021 7:05,192.2,131.17,0,17,13,6,130,190,2
11/23/2021 7:10,11/23/2021 7:10,11/23/2021 7:10,180.3,0,0,16,14,6,0,180,2
11/23/2021 7:15,11/23/2021 7:15,11/23/2021 7:15,184.3,35.93,0,16,14,6,40,180,2
11/23/2021 7:20,11/23/2021 7:20,11/23/2021 7:20,186.2,90.77,0,14,12,6,90,190,2
11/23/2021 7:25,11/23/2021 7:26,11/23/2021 7:25,185.5,36.17,0,12,10,6,40,190,2
11/23/2021 7:30,11/23/2021 7:31,11/23/2021 7:30,183.3,0,0,12,11,6,0,180,2
11/23/2021 7:35,11/23/2021 7:36,11/23/2021 7:35,183.3,35.74,0,12,10,6,40,180,2
11/23/2021 7:40,11/23/2021 7:42,11/23/2021 7:40,183.6,17.9,0,12,10,6,20,180,2
11/23/2021 7:45,11/23/2021 7:47,11/23/2021 7:45,182.8,35.64,0,12,10,6,40,180,2
11/23/2021 7:55,11/23/2021 7:52,11/23/2021 7:55,184.7,36.01,0,11,9,6,40,180,2
11/23/2021 8:00,11/23/2021 7:58,11/23/2021 8:00,115.2,0,0,12,10,6,0,120,2
11/23/2021 8:05,11/23/2021 8:04,11/23/2021 8:05,167.2,0,0,12,10,6,0,170,2
11/23/2021 8:10,11/23/2021 8:09,11/23/2021 8:10,182.6,0,0,12,9,6,0,180,2
11/23/2021 8:15,11/23/2021 8:15,11/23/2021 8:15,171.2,0,0,11,9,6,0,170,2
11/23/2021 8:20,11/23/2021 8:20,11/23/2021 8:20,116.5,0,0,12,10,6,0,120,2
11/23/2021 8:25,11/23/2021 8:25,11/23/2021 8:25,152.6,0,0,17,13,6,0,150,2
11/23/2021 8:30,11/23/2021 8:31,11/23/2021 8:30,132.3,0,0,17,14,6,0,130,2
11/23/2021 8:35,11/23/2021 8:36,11/23/2021 8:35,177.2,0,0,17,13,6,0,180,2
11/23/2021 8:40,11/23/2021 8:41,11/23/2021 8:40,193.8,132.26,0,19,15,6,130,190,2
